no_of_locations,no_of_conditions,enrollment,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length
60,1,365,3,3,0,0,0,0,0,0,1,0,0,0,0,18,69,15,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1100
1,2,202,1,1,0,0,0,0,0,0,1,0,0,0,0,20,80,22,1,9,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1577
44,1,266,5,5,0,0,0,0,0,0,1,0,0,0,0,18,70,15,1,6,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,784
1,1,33,2,0,0,0,0,0,0,1,1,0,0,0,0,18,95,3,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2090
1,1,62,3,0,0,0,0,0,0,1,1,0,0,0,0,45,75,10,1,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,399
1,1,166,3,0,3,0,0,0,0,0,1,0,0,0,0,21,75,7,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1072
7,2,41,2,2,0,0,0,0,0,0,1,0,0,0,0,18,84,2,1,18,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,714
1,1,124,2,2,0,0,0,0,0,0,1,0,0,0,0,21,80,12,6,14,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2631
151,1,677,2,2,0,0,0,0,0,0,1,0,0,0,0,18,80,32,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3118
37,1,2165,1,1,0,0,0,0,0,0,1,0,0,0,0,18,99,17,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1312
1,5,60,3,0,3,0,0,0,0,0,1,0,0,0,0,21,100,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3031
1,1,319,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,5,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3339
44,1,383,9,4,0,0,0,0,0,0,1,0,0,0,0,18,75,8,1,6,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,745
1,1,133,2,3,0,0,0,0,0,0,1,0,0,0,0,20,69,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2988
1,1,34,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,6,5,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,827
1,2,70,2,2,0,0,0,0,0,0,1,0,0,0,0,30,65,7,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2265
34,1,360,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,21,4,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3289
85,1,369,2,1,0,0,0,0,0,0,1,0,0,0,0,18,75,13,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,4518
58,1,298,5,4,0,0,0,0,0,0,1,0,0,0,0,18,70,22,1,14,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1131
64,1,278,3,2,0,0,0,0,0,0,1,0,0,0,0,18,75,9,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,832
1,1,68,3,4,0,0,0,0,0,0,1,0,0,0,0,30,78,0,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2949
159,1,465,2,2,2,0,0,0,0,0,1,0,0,0,0,18,75,15,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1069
19,1,87,4,2,0,0,0,0,0,0,1,0,0,0,0,18,70,22,1,15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3285
1,1,20,4,2,0,0,0,0,0,0,1,0,0,0,0,18,74,15,10,20,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,559
27,1,219,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,2,1,20,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2527
1,1,36,3,3,0,0,0,0,0,0,1,0,0,0,0,30,60,6,3,21,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1744
1,1,1512,3,1,2,0,0,0,0,0,1,0,0,0,0,18,69,19,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3461
1,1,27,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,0,1,23,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2766
1,1,48,2,0,0,0,0,0,0,1,1,0,0,0,0,18,69,21,1,20,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2890
140,1,431,2,3,2,0,0,0,0,0,1,0,0,0,0,18,75,13,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1056
2,1,117,3,3,0,0,0,0,0,0,1,0,0,0,0,20,74,8,1,8,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1121
1,1,27,2,2,0,0,0,0,0,0,1,0,0,0,0,30,75,22,5,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1380
4,1,98,9,9,0,0,0,0,0,0,1,0,0,0,0,18,70,6,4,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,772
2,2,136,2,0,0,0,0,1,0,0,1,0,0,0,0,21,69,17,1,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1061
44,1,399,3,2,0,0,0,0,0,0,1,0,0,0,0,18,69,12,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,833
49,1,318,6,3,0,0,0,0,0,0,1,0,0,0,0,18,75,11,1,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,828
1,1,24,3,2,0,0,0,0,0,0,1,0,0,0,0,20,64,0,2,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2613
1,2,31,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,10,1,8,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3000
1,1,16,6,2,0,0,0,0,0,0,1,0,0,0,0,20,65,0,2,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2351
3,1,46,3,2,0,0,0,0,0,1,1,0,0,0,0,18,75,0,1,27,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1235
35,1,84,2,2,0,0,0,0,0,0,1,0,0,0,0,10,17,0,3,20,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3521
2,1,24,2,2,0,0,0,0,0,0,1,0,0,0,0,20,70,8,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,934
167,1,1538,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,16,1,19,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2380
1,1,12,2,3,0,0,0,0,0,0,1,0,0,0,0,20,64,0,14,16,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,461
1,1,31,4,3,0,0,0,0,0,1,1,0,0,0,0,20,75,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,636
6,1,76,2,2,0,0,0,0,0,0,1,0,0,0,0,40,65,18,1,7,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1629
4,2,64,3,2,0,0,0,0,0,0,1,0,0,0,0,18,75,12,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1740
1,1,49,2,1,0,0,0,0,0,1,1,0,0,0,0,18,70,16,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1297
1,1,80,3,3,0,0,0,0,0,0,1,0,0,0,0,20,69,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3112
40,1,12537,4,3,0,0,0,1,0,0,1,0,0,0,0,50,69,10,2,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,3403
2,1,24,2,1,0,0,0,0,0,0,1,0,0,0,0,20,70,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1503
40,1,263,4,2,0,0,0,0,0,0,1,0,0,0,0,18,70,43,1,15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2689
46,1,636,4,2,0,0,0,0,0,0,1,0,0,0,0,20,69,3,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1139
32,1,536,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,8,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1273
13,1,111,4,2,0,0,0,0,0,0,1,0,0,0,0,18,75,6,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1294
14,1,394,5,6,0,0,0,0,0,0,1,0,0,0,0,20,69,7,2,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1166
65,1,388,2,2,0,0,0,0,0,0,1,0,0,0,0,18,64,4,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,783
50,1,155,9,1,0,0,0,0,0,2,1,0,0,0,0,18,70,0,6,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2072
43,1,281,8,3,0,0,0,0,0,0,1,0,0,0,0,18,75,16,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,770
70,1,308,2,4,0,0,0,0,0,0,1,0,0,0,0,18,80,10,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1259
14,1,402,2,3,0,0,0,0,0,0,1,0,0,0,0,18,80,7,1,9,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1183
2,1,60,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2326
1,1,99,3,3,0,0,0,0,0,0,1,0,0,0,0,20,75,0,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1139
2,1,66,4,2,0,0,0,0,0,1,1,0,0,0,0,18,70,2,4,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1191
1,1,20,2,2,0,0,0,0,0,0,1,0,0,0,0,20,60,0,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1133
62,1,759,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,13,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1201
158,1,814,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,14,1,39,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2269
12,1,151,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,13,3,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4206
56,1,442,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,15,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,861
40,1,300,2,4,0,0,0,0,0,0,1,0,0,0,0,18,69,9,1,15,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1931
1,1,12,2,2,0,0,0,0,0,0,1,0,0,0,0,20,75,0,1,7,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,680
41,1,424,3,4,0,0,0,0,0,0,1,0,0,0,0,18,69,4,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1681
24,1,236,2,2,0,0,0,0,0,0,1,0,0,0,0,10,17,28,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3781
1,1,12,2,0,0,0,0,0,0,2,1,0,0,0,0,21,55,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1919
1,1,89,4,3,0,0,0,0,0,0,1,0,0,0,0,25,65,7,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1091
123,1,256,5,3,0,0,0,0,0,0,1,0,0,0,0,10,18,0,2,17,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2532
1,1,60,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,3,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1490
1,1,37,4,2,0,0,0,0,0,0,1,0,0,0,0,20,70,0,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,545
11,1,304,1,1,0,0,0,0,0,0,1,0,0,0,0,18,75,28,1,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1325
1,1,46,2,0,2,0,0,0,0,0,1,0,0,0,0,18,70,13,2,15,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1603
1,1,34,2,2,0,0,0,0,0,0,1,0,0,0,0,30,70,0,4,14,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2226
1,1,12,2,2,0,0,0,0,0,0,1,0,0,0,0,30,65,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1754
38,1,154,3,2,0,0,0,0,0,0,1,0,0,0,0,18,75,1,1,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,995
59,1,296,5,4,0,0,0,0,0,0,1,0,0,0,0,18,80,17,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1939
8,1,33,3,3,0,0,0,0,0,0,1,0,0,0,0,18,70,0,1,14,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1071
7,1,84,9,0,0,0,18,0,0,0,1,0,0,0,0,18,70,8,3,21,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1531
21,1,259,4,4,0,0,0,0,0,0,1,0,0,0,0,20,75,19,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2660
74,1,494,4,4,0,0,0,0,0,0,1,0,0,0,0,20,69,10,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1360
228,1,2004,2,3,0,0,0,0,0,0,1,0,0,0,0,18,70,20,1,7,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3133
1,1,24,2,2,0,0,0,0,0,0,1,0,0,0,0,12,25,8,1,8,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2438
99,1,1202,9,5,0,0,0,0,0,0,1,0,0,0,0,18,75,45,1,30,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2422
1,1,2,2,2,0,0,1,0,0,1,1,0,0,0,0,45,65,100,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1605
1,1,37,4,2,0,0,0,0,0,0,1,0,0,0,0,18,65,3,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,666
1,1,55,2,2,0,0,0,0,0,0,1,0,0,0,0,35,70,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,824
14,1,492,3,3,0,0,0,0,0,0,1,0,0,0,0,20,69,9,1,18,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1164
1,1,58,2,5,0,0,0,0,0,0,1,0,0,0,0,25,65,40,1,16,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,4431
184,1,1912,4,4,0,0,0,0,0,0,1,0,0,0,0,18,69,22,2,21,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,5143
1,1,54,3,0,5,0,0,0,0,0,1,0,0,0,0,18,70,21,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2449
2,1,48,2,2,0,0,0,0,0,0,1,0,0,0,0,20,70,4,1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1689
85,2,451,7,3,0,0,0,0,0,0,1,0,0,0,0,18,65,11,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1942
63,1,345,6,6,0,0,0,0,0,0,1,0,0,0,0,18,55,0,1,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1909
18,1,106,4,2,0,0,0,0,0,0,1,0,0,0,0,20,75,25,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3703
34,1,443,3,2,0,0,0,0,0,0,1,0,0,0,0,20,69,6,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1057
21,1,1791,2,4,0,0,0,0,0,0,1,0,0,0,0,40,69,14,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,5458
5,1,65,4,2,0,0,0,0,0,0,1,0,0,0,0,18,130,5,2,23,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,844
1,1,30,1,0,0,0,0,1,0,1,1,0,0,0,0,4,19,50,1,9,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1014
1,2,6,2,0,0,0,0,1,0,2,1,0,0,0,0,18,75,0,2,6,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,897
1,1,74,4,4,0,0,0,0,0,0,1,0,0,0,0,21,65,3,3,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1708
